"rep","n","probs","quants","tail","model","uwd1","uwd2","width_mu","width_sigma","width_n","cover90_mu","cover90_sigma","cover90_n"
4,50,1,3,0,"spline",0.185049997856281,0.0368826807383365,NA,NA,NA,NA,NA,NA
4,150,1,3,0,"cltn",0.0111873546712621,0.000124246360218637,1.013199,1.109865,NA,1,1,NA
4,150,1,3,0,"ordn",0.0111873546712621,0.000124246360218637,0.994154,1.087839,NA,1,1,NA
4,150,1,3,0,"clt",0.00616509613354463,6.63526571278349e-05,1.123435,1.189283,565.11922,1,1,1
4,150,1,3,0,"ord",0.0129401944817371,0.000186462628203563,1.163108,1.280399,498.2022,1,1,1
4,150,1,3,0,"ind",0.0335554118188111,0.00115685330080564,2.573568,3.397069,NA,1,1,NA
4,150,1,3,0,"kern",0.0344846493558048,0.0011615909847275,NA,NA,NA,NA,NA,NA
4,150,1,3,0,"spline",0.110873679411296,0.0124995058029993,NA,NA,NA,NA,NA,NA
4,500,1,3,0,"cltn",0.0160854447420283,0.000324214043632129,0.5600535,0.6123215,NA,1,1,NA
4,500,1,3,0,"ordn",0.0160854447420283,0.000324214043632129,0.5503545,0.6200015,NA,1,1,NA
4,500,1,3,0,"clt",0.0217832277095369,0.000417321539197748,0.3109685,0.3266385,5514.7567,1,1,1
4,500,1,3,0,"ord",0.00507421452834464,2.60820744895082e-05,0.303096,0.3221465,5493.8244,1,1,1
4,500,1,3,0,"ind",0.0465717024162466,0.00261293830252482,2.011993,3.003906,NA,1,1,NA
4,500,1,3,0,"kern",0.0184509445712432,0.000358006574626932,NA,NA,NA,NA,NA,NA
4,500,1,3,0,"spline",0.110057248204057,0.0120323497175353,NA,NA,NA,NA,NA,NA
4,1000,1,3,0,"cltn",0.0225736359818891,0.000544941621997462,0.375957,0.3983435,NA,1,1,NA
4,1000,1,3,0,"ordn",0.0225736359818891,0.000544941621997462,0.375612,0.3968585,NA,1,1,NA
4,1000,1,3,0,"clt",0.0139933623547966,0.000196798443629942,0.342211,0.3703755,4547.1249,1,1,1
4,1000,1,3,0,"ord",0.0181860084685633,0.000353283914839942,0.362904,0.378418,4446.88565,1,1,1
4,1000,1,3,0,"ind",0.0504840565021096,0.00262621704529695,1.727524,3.000821,NA,1,1,NA
4,1000,1,3,0,"kern",0.0189124975222078,0.000327398907699854,NA,NA,NA,NA,NA,NA
4,1000,1,3,0,"spline",0.118267393416955,0.0137848438808989,NA,NA,NA,NA,NA,NA
5,50,1,3,0,"cltn",0.0730647542431398,0.00485742470601839,2.165002,2.19298,NA,1,0,NA
5,50,1,3,0,"ordn",0.0730647542431398,0.00485742470601839,2.156788,2.18902,NA,1,1,NA
5,50,1,3,0,"clt",0.0699045899158517,0.00438806214143145,2.544549,2.509478,147.083657,1,1,1
5,50,1,3,0,"ord",0.0731417197086531,0.00497205489965522,2.592234,2.575527,133.677559,1,1,1
5,50,1,3,0,"ind",0.0361411841652254,0.00153844058473907,3.279904,4.642262,NA,1,1,NA
5,50,1,3,0,"kern",0.076783410397787,0.00675526041319882,NA,NA,NA,NA,NA,NA
5,50,1,3,0,"spline",0.0482155866067047,0.00286205290578541,NA,NA,NA,NA,NA,NA
5,150,1,3,0,"cltn",0.0252301392925463,0.000625351381609211,1.118216,1.202394,NA,1,1,NA
5,150,1,3,0,"ordn",0.0252301392925463,0.000625351381609211,1.085684,1.085492,NA,1,1,NA
5,150,1,3,0,"clt",0.00969161859655271,8.9019388676042e-05,1.560016,1.652853,326.235405,1,1,1
